med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n1,n1__Condition1-1,Condition1,n1,n1__Condition1,17.2240662512911,0.935,851.799,248.054,1421.99,6.815,595.792219607843,no
Condition1-n1,n1__Condition1-10,Condition1,n1,n1__Condition1,11.8544967812567,1.011,833.487,237.796,2318.44,19.957,595.792219607843,no
Condition1-n1,n1__Condition1-100,Condition1,n1,n1__Condition1,10.7467783773371,1.008,451.488,277.498,359.229,175.883,595.792219607843,no
Condition1-n1,n1__Condition1-1000,Condition1,n1,n1__Condition1,25.1811767861135,0.988,610.098,246.593,2467.226,2171.601,595.792219607843,no
Condition1-n1,n1__Condition1-1001,Condition1,n1,n1__Condition1,18.1500297101997,0.98,547.621,236.302,1278.298,2172.379,595.792219607843,no
Condition1-n1,n1__Condition1-1002,Condition1,n1,n1__Condition1,18.4269593111796,1.003,165.45,481.293,836.254,2174.197,595.792219607843,no
Condition1-n1,n1__Condition1-1003,Condition1,n1,n1__Condition1,20.4329482139099,0.988,159.766,1078.58,701.909,2179.389,595.792219607843,yes
Condition1-n1,n1__Condition1-1004,Condition1,n1,n1__Condition1,18.7038889121595,0.983,238.546,2314.041,229.751,2180.687,595.792219607843,yes
Condition1-n1,n1__Condition1-1005,Condition1,n1,n1__Condition1,25.2286049591549,0.958,185.189,1814.5,1453.726,2189.968,595.792219607843,yes
Condition1-n1,n1__Condition1-1006,Condition1,n1,n1__Condition1,17.7581902403075,0.998,220.474,875.562,2068.083,2189.124,595.792219607843,yes
Condition1-n1,n1__Condition1-1007,Condition1,n1,n1__Condition1,18.1500297101997,0.985,685.693,237.372,340.732,2189.124,595.792219607843,no
Condition1-n1,n1__Condition1-1008,Condition1,n1,n1__Condition1,26.0399768590374,0.973,564.142,228.426,869.516,2193.18,595.792219607843,no
Condition1-n1,n1__Condition1-1009,Condition1,n1,n1__Condition1,12.6381757210412,0.994,678.361,237.922,756.166,2188.929,595.792219607843,no
Condition1-n1,n1__Condition1-101,Condition1,n1,n1__Condition1,18.1500297101997,1.018,143.926,1966.666,515.966,187.565,595.792219607843,yes
Condition1-n1,n1__Condition1-1010,Condition1,n1,n1__Condition1,16.306060539537,0.978,810.427,261.73,212.228,2193.343,595.792219607843,no
Condition1-n1,n1__Condition1-1011,Condition1,n1,n1__Condition1,17.9205282822612,0.995,721.107,231.166,772.651,2193.343,595.792219607843,no
Condition1-n1,n1__Condition1-1012,Condition1,n1,n1__Condition1,18.6367255261748,1.01,356.52,235.28,175.396,2198.372,595.792219607843,no
Condition1-n1,n1__Condition1-1013,Condition1,n1,n1__Condition1,19.1431565550932,0.995,289.121,1645.781,231.373,2200.482,595.792219607843,yes
Condition1-n1,n1__Condition1-1014,Condition1,n1,n1__Condition1,18.9333903400981,1.014,160.555,1649.631,2313.41,2199.833,595.792219607843,yes
Condition1-n1,n1__Condition1-1015,Condition1,n1,n1__Condition1,15.5898632956235,0.927,560.79,235.476,789.266,2198.405,595.792219607843,no
Condition1-n1,n1__Condition1-1016,Condition1,n1,n1__Condition1,23.2028808434812,0.967,282.882,238.311,1920.974,2205.197,595.792219607843,no
Condition1-n1,n1__Condition1-1017,Condition1,n1,n1__Condition1,16.2586323664957,0.966,336.139,243.626,2142.395,2204.7,595.792219607843,no
Condition1-n1,n1__Condition1-1018,Condition1,n1,n1__Condition1,19.6021594109702,0.991,191.554,253.742,916.732,2207.621,595.792219607843,no
Condition1-n1,n1__Condition1-1019,Condition1,n1,n1__Condition1,14.8539308387666,0.977,499.017,244.077,2397.652,2206.258,595.792219607843,no
Condition1-n1,n1__Condition1-102,Condition1,n1,n1__Condition1,17.6435986812813,0.972,207.56,265.757,1376.234,190.81,595.792219607843,no
Condition1-n1,n1__Condition1-1020,Condition1,n1,n1__Condition1,14.8065026657252,0.981,454.576,258.658,42.835,2207.621,595.792219607843,no
Condition1-n1,n1__Condition1-1021,Condition1,n1,n1__Condition1,15.8667928966034,0.971,332.169,221.752,1781.543,2208.919,595.792219607843,no
Condition1-n1,n1__Condition1-1022,Condition1,n1,n1__Condition1,22.9456864554447,0.971,198.071,247.042,1994.744,2216.058,595.792219607843,no
Condition1-n1,n1__Condition1-1023,Condition1,n1,n1__Condition1,19.6495875840116,0.982,793.242,233.057,585.216,2219.238,595.792219607843,no
Condition1-n1,n1__Condition1-1024,Condition1,n1,n1__Condition1,11.9022432641843,1.003,293.279,239.996,38.616,2221.575,595.792219607843,no
Condition1-n1,n1__Condition1-1025,Condition1,n1,n1__Condition1,20.9196440298849,0.971,489.409,241.663,1792.448,2225.812,595.792219607843,no
Condition1-n1,n1__Condition1-1026,Condition1,n1,n1__Condition1,17.987691668246,1.006,691.399,232.277,1750.066,2227.416,595.792219607843,no
Condition1-n1,n1__Condition1-1027,Condition1,n1,n1__Condition1,15.6372914686649,0.939,266.21,416.423,1703.013,2231.634,595.792219607843,no
Condition1-n1,n1__Condition1-1028,Condition1,n1,n1__Condition1,19.3249115001041,0.968,158.963,340.372,1548.208,2234.026,595.792219607843,no
Condition1-n1,n1__Condition1-1029,Condition1,n1,n1__Condition1,14.6915927968129,0.981,154.706,1616.942,446.684,2236.015,595.792219607843,yes
Condition1-n1,n1__Condition1-103,Condition1,n1,n1__Condition1,15.7719365505206,1.005,629.882,254.541,1595.276,190.486,595.792219607843,no
Condition1-n1,n1__Condition1-1030,Condition1,n1,n1__Condition1,14.0903054218117,0.97,376.535,2304.696,1581.647,2234.879,595.792219607843,yes
Condition1-n1,n1__Condition1-1031,Condition1,n1,n1__Condition1,13.0296968810473,0.967,657.879,231.984,1808.802,2239.747,595.792219607843,no
Condition1-n1,n1__Condition1-1032,Condition1,n1,n1__Condition1,13.3263616949706,0.852,350.34,244.184,4.543,2241.37,595.792219607843,no
Condition1-n1,n1__Condition1-1033,Condition1,n1,n1__Condition1,13.192034923001,0.986,342.484,241.106,426.986,2249.028,595.792219607843,no
Condition1-n1,n1__Condition1-1034,Condition1,n1,n1__Condition1,22.3440807705574,0.969,374.743,229.961,1771.258,2255.889,595.792219607843,no
Condition1-n1,n1__Condition1-1035,Condition1,n1,n1__Condition1,16.9270831274816,1.001,184.351,1292.086,1585.217,2255.648,595.792219607843,yes
Condition1-n1,n1__Condition1-1036,Condition1,n1,n1__Condition1,16.5355619674756,0.947,162.561,244.195,2492.778,2263.406,595.792219607843,no
Condition1-n1,n1__Condition1-1037,Condition1,n1,n1__Condition1,14.9685223977928,0.996,880.481,237.923,2185.879,2261.814,595.792219607843,no
Condition1-n1,n1__Condition1-1038,Condition1,n1,n1__Condition1,16.7370521254299,0.814,817.52,245.202,4.868,2266.681,595.792219607843,no
Condition1-n1,n1__Condition1-1039,Condition1,n1,n1__Condition1,18.7513170852009,1.008,323.941,232.295,953.401,2275.118,595.792219607843,no
Condition1-n1,n1__Condition1-104,Condition1,n1,n1__Condition1,19.0957283820518,0.974,158.897,235.353,2009.217,193.99,595.792219607843,no
Condition1-n1,n1__Condition1-1040,Condition1,n1,n1__Condition1,18.474387484221,0.951,152.742,2152.526,1586.915,2274.813,595.792219607843,yes
Condition1-n1,n1__Condition1-1041,Condition1,n1,n1__Condition1,17.8253536262923,0.965,150.769,980.051,1780.894,2274.794,595.792219607843,yes
Condition1-n1,n1__Condition1-1042,Condition1,n1,n1__Condition1,18.4269593111796,0.941,270.451,234.936,417.64,2274.794,595.792219607843,no
Condition1-n1,n1__Condition1-1043,Condition1,n1,n1__Condition1,18.0351198412874,1.001,574.83,242.914,169.068,2280.959,595.792219607843,no
Condition1-n1,n1__Condition1-1044,Condition1,n1,n1__Condition1,15.7044548546497,0.97,389.103,234.177,1985.334,2283.231,595.792219607843,no
Condition1-n1,n1__Condition1-1045,Condition1,n1,n1__Condition1,19.5544129280426,0.972,610.205,225.345,610.527,2286.087,595.792219607843,no
Condition1-n1,n1__Condition1-1046,Condition1,n1,n1__Condition1,18.8184804711857,1.009,712.796,247.524,217.744,2287.774,595.792219607843,no
Condition1-n1,n1__Condition1-1047,Condition1,n1,n1__Condition1,16.1914689805109,0.972,267.524,229.32,535.738,2291.039,595.792219607843,no
Condition1-n1,n1__Condition1-1048,Condition1,n1,n1__Condition1,17.987691668246,0.991,566.687,228.727,523.267,2302.215,595.792219607843,no
