med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n1,n1__Condition1-1003,Condition1,n1,n1__Condition1,20.4329482139099,0.988,159.766,1078.58,701.909,2179.389,595.792219607843,yes
Condition1-n1,n1__Condition1-1004,Condition1,n1,n1__Condition1,18.7038889121595,0.983,238.546,2314.041,229.751,2180.687,595.792219607843,yes
Condition1-n1,n1__Condition1-1005,Condition1,n1,n1__Condition1,25.2286049591549,0.958,185.189,1814.5,1453.726,2189.968,595.792219607843,yes
Condition1-n1,n1__Condition1-1006,Condition1,n1,n1__Condition1,17.7581902403075,0.998,220.474,875.562,2068.083,2189.124,595.792219607843,yes
Condition1-n1,n1__Condition1-101,Condition1,n1,n1__Condition1,18.1500297101997,1.018,143.926,1966.666,515.966,187.565,595.792219607843,yes
Condition1-n1,n1__Condition1-1013,Condition1,n1,n1__Condition1,19.1431565550932,0.995,289.121,1645.781,231.373,2200.482,595.792219607843,yes
Condition1-n1,n1__Condition1-1014,Condition1,n1,n1__Condition1,18.9333903400981,1.014,160.555,1649.631,2313.41,2199.833,595.792219607843,yes
Condition1-n1,n1__Condition1-1029,Condition1,n1,n1__Condition1,14.6915927968129,0.981,154.706,1616.942,446.684,2236.015,595.792219607843,yes
Condition1-n1,n1__Condition1-1030,Condition1,n1,n1__Condition1,14.0903054218117,0.97,376.535,2304.696,1581.647,2234.879,595.792219607843,yes
Condition1-n1,n1__Condition1-1035,Condition1,n1,n1__Condition1,16.9270831274816,1.001,184.351,1292.086,1585.217,2255.648,595.792219607843,yes
Condition1-n1,n1__Condition1-1040,Condition1,n1,n1__Condition1,18.474387484221,0.951,152.742,2152.526,1586.915,2274.813,595.792219607843,yes
Condition1-n1,n1__Condition1-1041,Condition1,n1,n1__Condition1,17.8253536262923,0.965,150.769,980.051,1780.894,2274.794,595.792219607843,yes
Condition1-n1,n1__Condition1-1051,Condition1,n1,n1__Condition1,20.060843956961,0.916,213.594,1756.208,1008.568,2320.874,595.792219607843,yes
Condition1-n1,n1__Condition1-110,Condition1,n1,n1__Condition1,27.02482764689,0.982,147.556,2297.982,605.854,205.088,595.792219607843,yes
Condition1-n1,n1__Condition1-111,Condition1,n1,n1__Condition1,18.3597959251949,0.969,135.521,1099.821,645.769,202.817,595.792219607843,yes
Condition1-n1,n1__Condition1-113,Condition1,n1,n1__Condition1,20.5478580828222,0.972,173.932,1234.932,1339.792,205.77,595.792219607843,yes
Condition1-n1,n1__Condition1-115,Condition1,n1,n1__Condition1,24.492672502298,0.956,290.098,2163.695,2268.562,209.324,595.792219607843,yes
Condition1-n1,n1__Condition1-118,Condition1,n1,n1__Condition1,17.4812606393276,0.995,217.372,1230.989,325.156,212.228,595.792219607843,yes
Condition1-n1,n1__Condition1-123,Condition1,n1,n1__Condition1,21.8179145286956,0.99,207.18,1763.168,2393.239,221.638,595.792219607843,yes
